question,query
"From the following table, write a SQL query to find those employees whose salary matches the lowest salary of any of the departments. Return first name, last name and department ID.","SELECT first_name, last_name, salary, department_id FROM employees WHERE salary IN ( SELECT MIN(salary) FROM employees GROUP BY department_id );"
"From the following table, write a SQL query to find those employees who earn more than the average salary. Return employee ID, first name, last name.","SELECT employee_id, first_name,last_name FROM employees WHERE salary > ( SELECT AVG(salary) FROM employees );"
"From the following table, write a SQL query to find those employees who joined after the employee whose ID is 165. Return first name, last name and hire date.","SELECT first_name ||' '|| last_name AS Full_Name , hire_date FROM employees WHERE hire_date > ( SELECT hire_date FROM employees WHERE employee_id = 165);"
"From the following table, write a SQL query to find those employees who receive a higher salary than the employee with ID 163. Return first name, last name.","SELECT first_name, last_name FROM employees WHERE salary > ( SELECT salary FROM employees WHERE employee_id=163 );"
"From the following table, write a SQL query to find out which employees have the same designation as the employee whose ID is 169. Return first name, last name, department ID and job ID.","SELECT first_name, last_name, salary, department_id, job_id FROM employees WHERE job_id = ( SELECT job_id FROM employees WHERE employee_id=169 );"
"From the following table, write a SQL query to find those employees who earn more than the minimum salary of a department of ID 40. Return first name, last name, salary, and department ID.","SELECT first_name, last_name, salary, department_id FROM employees WHERE salary > ANY (SELECT salary FROM employees WHERE department_id = 40);"
"From the following table, write a SQL query to find those employees who work in the department 'Marketing'. Return first name, last name and department ID.","SELECT first_name, last_name, department_id  FROM employees WHERE department_id = (SELECT department_id FROM departments WHERE department_name = 'Marketing');"
"From the following table, write a SQL query to find those employees whose salary matches that of the employee who works in department ID 40. Return first name, last name, salary, and department ID.","SELECT first_name, last_name, salary, department_id FROM employees WHERE salary IN (SELECT salary FROM employees WHERE department_id = 40);"
"From the following table, write a SQL query to find those employees who earn more than the average salary. Sort the result-set in descending order by salary. Return first name, last name, salary, and department ID.","SELECT first_name, last_name , salary, department_id FROM employees WHERE salary > (SELECT AVG(salary) FROM employees) ORDER BY salary DESC;"
"From the following table, write a SQL query to find departments for a particular location. The location matches the location of the department of ID 30. Return department name and department ID.","SELECT department_name, department_id FROM departments WHERE location_id = ( SELECT location_id FROM  departments WHERE department_id = 30);"
"From the following table, write a SQL query to find those employees who earn more than the maximum salary for a department of ID 40. Return first name, last name and department ID.","SELECT first_name, last_name, salary, department_id FROM employees WHERE salary > ALL (SELECT salary FROM employees WHERE department_id = 40);"
"From the following table, write a SQL query to find employees who work for the department in which employee ID 201 is employed. Return first name, last name, salary, and department ID.","SELECT first_name, last_name, salary, department_id FROM employees WHERE department_id = (SELECT department_id FROM employees WHERE employee_id = 201);"
"From the following table, write a SQL query to search for employees who receive such a salary, which is the maximum salary for salaried employees, hired between January 1st, 2002 and December 31st, 2003. Return employee ID, first name, last name, salary, department name and city.","SELECT a.employee_id, a.first_name, a.last_name, a.salary, b.department_name, c.city FROM employees a, departments b, locations c WHERE a.salary = (SELECT MAX(salary) 
FROM employees WHERE hire_date BETWEEN '01/01/2002' AND '12/31/2003') AND a.department_id=b.department_id AND b.location_id=c.location_id;"
"From the following tables, write a SQL query to find those departments that are located in the city of London. Return department ID, department name.","SELECT department_id, department_name FROM departments WHERE location_id = ( SELECT location_id FROM locations WHERE city = 'London');"
"From the following table, write a SQL query to find those employees who manage a department. Return all the fields of employees table.",SELECT * FROM employees WHERE employee_id=ANY ( SELECT manager_id FROM departments );
"From the following table, write a SQL query to find employees who have previously worked as 'Sales Representatives'. Return all the fields of jobs.",SELECT * FROM jobs WHERE job_id IN (SELECT job_id FROM employees WHERE employee_id IN (SELECT employee_id FROM job_history WHERE job_id='SA_REP'));
"From the following table, write a SQL query to find those employees who earn the highest salary in a department. Return department ID, employee name, and salary.","SELECT department_id, first_name || ' ' || last_name AS Employee_name, salary FROM employees a WHERE salary = (SELECT MAX(salary) FROM employees WHERE department_id = a.department_id);"
"From the following table, write a SQL query to find the departments managed by Susan. Return all the fields of departments.",SELECT * FROM departments WHERE manager_id IN (SELECT employee_id FROM employees WHERE first_name='Susan');
"From the following table, write a SQL query to find those managers who supervise four or more employees. Return manager name, department ID.","SELECT first_name || ' ' || last_name AS Manager_name,department_id FROM employees WHERE employee_id IN (SELECT manager_id FROM employees GROUP BY manager_id HAVING COUNT(*)>=4);"
"From the following tables, write a SQL query to find those departments where the starting salary is at least 8000. Return all the fields of departments.",SELECT * FROM departments WHERE department_id IN ( SELECT department_id FROM employees GROUP BY department_id HAVING MIN(salary)>=8000);
"From the following table, write a SQL query to find those employees who have not had a job in the past. Return all the fields of employees.",SELECT * FROM employees WHERE employee_id NOT IN (SELECT employee_id FROM job_history);
"From the following tables, write a SQL query to find the city of the employee of ID 134. Return city.",SELECT city FROM locations WHERE location_id = (SELECT location_id FROM departments WHERE department_id = (SELECT department_id FROM employees WHERE employee_id=134));
"From the following tables, write a SQL query to find all employees whose department is located in London. Return first name, last name, salary, and department ID.","SELECT first_name, last_name, salary, department_id FROM employees WHERE department_id IN (SELECT department_id FROM departments WHERE location_id = (SELECT location_id FROM locations WHERE city = 'London'));"
"From the following tables, write a SQL query to find those departments where maximum salary is 7000 and above. The employees worked in those departments have already completed one or more jobs. Return all the fields of the departments.",SELECT * FROM departments WHERE DEPARTMENT_ID IN (SELECT DEPARTMENT_ID FROM employees WHERE EMPLOYEE_ID IN (SELECT EMPLOYEE_ID FROM job_history GROUP BY EMPLOYEE_ID HAVING COUNT(EMPLOYEE_ID) > 1) GROUP BY DEPARTMENT_ID HAVING MAX(SALARY) > 7000);
"From the following table, write a SQL query to find those employees who earn less than the average salary and work at the department where Laura (first name) is employed. Return first name, last name, salary, and department ID.","SELECT first_name, last_name, salary, department_id FROM employees WHERE salary < (SELECT AVG(salary) FROM employees ) AND department_id = (SELECT department_id FROM employees WHERE first_name = 'Laura');"
"From the following table, write a SQL query to find those employees who earn less than the minimum salary of a department of ID 70. Return first name, last name, salary, and department ID.","SELECT first_name, last_name, salary, department_id FROM employees WHERE salary < ALL (SELECT salary FROM employees WHERE department_id = 70);"
"From the following tables, write a SQL query to find those employees who are managers. Return all the fields of employees table.","SELECT * 
FROM employees 
WHERE employee_id IN 
(SELECT DISTINCT manager_id FROM employees);"
"From the following tables, write a SQL query to find those employees whose salaries exceed 50% of their department's total salary bill. Return first name, last name.","SELECT e1.first_name, e1.last_name FROM employees e1 WHERE salary > ( SELECT (SUM(salary))*.5 FROM employees e2 WHERE e1.department_id=e2.department_id);"
"From the following tables, write a SQL query find the employees who report to a manager based in the United States. Return first name, last name.","SELECT first_name,last_name FROM employees WHERE manager_id IN (SELECT employee_id FROM employees WHERE department_id IN (SELECT department_id FROM departments WHERE location_id IN (SELECT location_id FROM locations WHERE country_id='US')));"
"From the following table, write a SQL query to find all those employees who earn more than an employee whose last name is 'Ozer'. Sort the result in ascending order by last name. Return first name, last name and salary.","SELECT first_name, last_name, salary FROM employees WHERE salary >(SELECT salary FROM employees WHERE last_name='Ozer') ORDER BY  last_name;"
"From the following table, write a SQL query to find out which employees are earning more than the average salary and who work in any of the IT departments. Return last name.","SELECT last_name FROM employees WHERE department_id IN (SELECT department_id FROM departments WHERE department_name LIKE 'IT%') AND salary > (SELECT avg(salary) 
FROM employees);"
"From the following tables, write a SQL query to find employees who work in departments located in the United Kingdom. Return first name.",SELECT first_name FROM employees WHERE department_id IN (SELECT department_id FROM departments WHERE location_id IN (SELECT location_id FROM locations WHERE country_id = (SELECT country_id FROM countries WHERE country_name='United Kingdom')));
"From the following table, write a SQL query to find all those departments where at least one employee is employed. Return department name.",SELECT  department_name FROM departments WHERE department_id IN (SELECT DISTINCT(department_id) FROM employees);
"Write a query to display the employee id, name ( first name and last name ), salary and the SalaryStatus column with a title HIGH and LOW respectively for those employees whose salary is more than and less than the average salary of all employees.","SELECT  employee_id,  first_name, last_name, salary, CASE WHEN salary >= (SELECT AVG(salary) FROM employees) THEN 'HIGH' ELSE 'LOW' END AS SalaryStatus FROM employees;"
"Write a query to display the employee id, name ( first name and last name ) and the job id column with a modified title SALESMAN for those employees whose job title is ST_MAN and DEVELOPER for whose job title is IT_PROG.","SELECT  employee_id,  first_name, last_name, CASE job_id WHEN 'ST_MAN' THEN 'SALESMAN' WHEN 'IT_PROG' THEN 'DEVELOPER' ELSE job_id END AS designation, salary FROM employees;"
